USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
OH	39149972100	8365441	121135	       3.230	       0.047	 40.3153469	 -84.1446550                                                                                                                        
OH	39149972200	203943517	427725	      78.743	       0.165	 40.2502017	 -84.0944655                                                                                                                      
OH	39149972300	197622597	1870136	      76.303	       0.722	 40.2470081	 -84.3191455                                                                                                                     
OH	39151700100	1125509	0	       0.435	       0.000	 40.8020188	 -81.3734737                                                                                                                             
OH	39151700200	4019159	0	       1.552	       0.000	 40.8264124	 -81.3339433                                                                                                                             
OH	39151700300	1412508	0	       0.545	       0.000	 40.8169699	 -81.3449296                                                                                                                             
OH	39151700400	2137891	0	       0.825	       0.000	 40.8232785	 -81.3591315                                                                                                                             
OH	39151700500	1418033	0	       0.548	       0.000	 40.8128416	 -81.3604970                                                                                                                             
OH	39151700600	1136057	0	       0.439	       0.000	 40.8167501	 -81.3747320                                                                                                                             
OH	39151700700	4265457	0	       1.647	       0.000	 40.8295099	 -81.3797888                                                                                                                             
OH	39151700800	1922944	0	       0.742	       0.000	 40.8152212	 -81.3882408                                                                                                                             
OH	39151701000	1658334	0	       0.640	       0.000	 40.8052680	 -81.3976669                                                                                                                             
OH	39151701100	1265965	0	       0.489	       0.000	 40.8018440	 -81.4151739                                                                                                                             
OH	39151701200	1793650	0	       0.693	       0.000	 40.7910240	 -81.4173407                                                                                                                             
OH	39151701300	1601171	0	       0.618	       0.000	 40.7920199	 -81.4043432                                                                                                                             
OH	39151701500	2191386	0	       0.846	       0.000	 40.7944192	 -81.3882373                                                                                                                             
OH	39151701700	1063966	0	       0.411	       0.000	 40.8050167	 -81.3830135                                                                                                                             
OH	39151701800	5462977	0	       2.109	       0.000	 40.8057484	 -81.3435952                                                                                                                             
OH	39151702100	2514227	0	       0.971	       0.000	 40.7941966	 -81.3515091                                                                                                                             
OH	39151702300	5853662	0	       2.260	       0.000	 40.7810290	 -81.3751563                                                                                                                             
OH	39151702500	4550288	0	       1.757	       0.000	 40.7781790	 -81.4025559                                                                                                                             
OH	39151710200	5628443	51222	       2.173	       0.020	 40.9295541	 -81.1138681                                                                                                                         
OH	39151710300	2689575	13015	       1.038	       0.005	 40.9182890	 -81.1204788                                                                                                                         
OH	39151710400	571650	0	       0.221	       0.000	 40.9197814	 -81.1011441                                                                                                                              
OH	39151710500	3085728	0	       1.191	       0.000	 40.9104099	 -81.0956770                                                                                                                             
OH	39151710600	6775684	15934	       2.616	       0.006	 40.8960782	 -81.1090078                                                                                                                         
OH	39151710700	2899158	17030	       1.119	       0.007	 40.9074026	 -81.1192591                                                                                                                         
OH	39151710800	59726414	5559227	      23.060	       2.146	 40.9539178	 -81.1392564                                                                                                                      
OH	39151710900	92944376	1564229	      35.886	       0.604	 40.9440837	 -81.2432290                                                                                                                      
OH	39151711000	43955104	942556	      16.971	       0.364	 40.9462465	 -81.3280833                                                                                                                       
OH	39151711111	7820982	57014	       3.020	       0.022	 40.9848295	 -81.3816608                                                                                                                         
OH	39151711112	10692752	16808	       4.128	       0.006	 40.9664632	 -81.3856279                                                                                                                        
OH	39151711121	17840844	0	       6.888	       0.000	 40.9397429	 -81.3864539                                                                                                                            
OH	39151711122	9675263	0	       3.736	       0.000	 40.9150176	 -81.3940810                                                                                                                             
OH	39151711202	57028024	180274	      22.019	       0.070	 40.8571412	 -81.6093179                                                                                                                       
OH	39151711211	19308425	317154	       7.455	       0.122	 40.9007746	 -81.5663859                                                                                                                       
OH	39151711212	12703981	337735	       4.905	       0.130	 40.8676572	 -81.5638949                                                                                                                       
OH	39151711311	28770918	252465	      11.109	       0.097	 40.9003108	 -81.4866085                                                                                                                       
OH	39151711312	14498137	73278	       5.598	       0.028	 40.8709023	 -81.5025490                                                                                                                        
OH	39151711321	6365491	721978	       2.458	       0.279	 40.8674676	 -81.4444356                                                                                                                        
OH	39151711322	7838452	7025	       3.026	       0.003	 40.8410105	 -81.4460255                                                                                                                          
